Production Budget,Gross Profit
425000000,2351345279
300000000,1748797682
306000000,1747311220
215000000,1433854864
190000000,1328722794
225000000,1292935897
125000000,1216693157
200000000,1148258224
170000000,1135772799
150000000,1122469910
160000000,1099199706
74000000,1086336173
330600000,1072413963
200000000,1042532436
200000000,1015392272
317000000,999721747
250000000,984846267
160000000,979409277
75000000,959822373
195000000,928790543
200000000,910526981
76000000,899216835
210000000,894039076
250000000,890069413
90000000,874496193
150000000,869704348
200000000,868879522
200000000,849102856
225000000,841215812
125000000,835431568
200000000,825491110
200000000,821215193
185000000,816996207
55000000,813558377
75000000,811767422
275000000,809439099
150000000,793076457
175000000,787854547
95000000,784765137
90000000,769701857
250000000,767003568
58000000,743025593
116000000,737628605
130000000,734868047
250000000,710366855
175000000,705166350
250000000,695577621
136200000,693524737
250000000,685213767
175000000,679235992
110000000,676680557
160000000,672402082
150000000,671133378
180000000,666980024
300000000,663420425
35000000,662457969
200000000,662316233
160000000,647330936
125000000,642820459
125000000,641575131
68000000,638102828
50000000,637557727
258000000,636860230
410600000,635063875
160000000,629300444
210000000,626519699
175000000,623020225
180000000,622402853
250000000,617500281
178000000,609456552
145000000,601921271
185000000,601635413
170000000,600867516
80000000,597923379
165000000,591244673
200000000,588408539
110000000,583698673
300000000,579620923
180000000,578536735
75000000,576899282
175000000,571059887
52000000,563748772
127500000,561920051
75000000,559454789
230000000,558241137
151000000,557272592
175000000,556463377
145000000,549713230
200000000,547862775
108000000,547271443
170000000,544401889
200000000,543588329
170000000,540644566
150000000,538858992
220000000,537890267
40000000,530998101
150000000,514837547
165000000,511404566
200000000,508996336
80000000,506464305
50000000,506016627
125000000,505163454
130000000,501910531
165000000,501379375
150000000,494602516
60720000,493796671
130000000,493144660
102000000,492420283
58000000,489326372
160000000,488986787
127000000,488461394
150000000,487517365
120000000,487258634
165000000,487127828
150000000,476549695
69000000,474464573
150000000,474234272
10800000,474073045
145000000,469586270
110000000,469446407
65000000,463112687
72500000,454571022
110000000,453749323
200000000,452220086
170000000,451156389
150000000,449680774
225000000,442999518
95000000,439551353
215000000,439213485
135000000,438068425
75000000,435657560
150000000,435532684
35000000,430764086
150000000,429290136
130000000,424987477
40000000,417507776
15000000,415821168
125000000,410663443
90000000,408438212
20000000,406683677
186000000,399171547
135000000,397938302
60000000,397729388
90000000,397519809
60000000,394161935
36000000,391901013
80000000,389500298
130000000,388858449
217000000,385893340
125000000,385878762
93000000,377986200
140000000,377599142
65000000,377169052
185000000,376072059
70000000,373483213
14000000,370530440
185000000,369606532
160000000,369076069
125000000,368214888
37000000,365280159
178000000,364537546
