word,quantity
a,48
and,45
the,39
of,34
is,29
to,26
an,18
with,15
its,13
for,12
in,11
on,10
this,8
that,8
as,8
but,7
by,6
gags,6
down,6
thriller,6
dialogue,6
even,6
laughs,6
plot,6
offers,5
or,5
mess,5
it,5
cast,5
than,5
comedy,5
inept,4
film,4
action,4
one,4
from,4
unfunny,4
funny,4
material,4
any,4
no,4
you,4
be,4
movie,4
few,4
jokes,3
bad,3
dull,3
filled,3
source,3
audiences,3
only,3
overly,3
not,3
it's,3
good,3
too,3
cheap,3
pop,3
culture,3
yet,3
laugh-free,3
that's,3
horror,3
unintentional,3
incoherent,3
dead,3
fails,3
particularly,3
low,3
without,2
wit,2
bland,2
performances,2
shocks,2
dated,2
eddie,2
--,2
comedic,2
adaptation,2
sequel,2
illogical,2
special,2
effects,2
leaving,2
would-be,2
lives,2
title,2
-,2
has,2
plenty,2
laughable,2
'em,2
farce,2
coherent,2
there,2
misguided,2
level,2
may,2
relies,2
their,2
stale,2
overheated,2
squanders,2
about,2
cliche-ridden,2
crass,2
characters,2
utterly,2
flat,2
actors,2
make,2
suggests,2
old,2
feature,2
rather,2
scares,2
features,2
talented,2
more,2
likely,2
past,2
development,2
stylish,2
silly,2
devoid,2
chills,2
isn't,2
forgettable,2
thrilling,2
scary,2
so,2
mostly,2
by-the-numbers,2
script,2
darkness,2
genre,2
time,2
lacking,2
romantic,2
neither,2
nor,2
name,2
standards,2
uwe,2
boll,2
featuring,2
404,1
startlingly,1
ballistic,1
ecks,1
vs,1
sever,1
overblown,1
wall-to-wall,1
hint,1
coherence,1
style,1
originality,1
weakest,1
entries,1
j-horror,1
remake,1
sweepstakes,1
missed,1
call,1
undone,1
shopworn,1
(a,1
thousand,1
words,1
was,1
shot,1
2008),1
removing,1
murphy's,1
voice,1
his,1
greatest,1
asset,1
dooms,1
painful,1
start,1
roberto,1
benigni,1
misfires,1
wildly,1
pinocchio,1
result,1
poorly-made,1
creepy,1
vanity,1
project,1
startling,1
lack,1
taste,1
pervades,1
superbabies,1
offering,1
further,1
proof,1
still,1
aren't,1
when,1
coming,1
mouths,1
babes,1
aspires,1
farrelly-level,1
offensiveness,1
pg-13,1
rating,1
dearth,1
decent,1
renders,1
gold,1
diggers,1
tame,1
toothless,1
tension-free,1
cut-rate,1
jaws,1
revenge,1
sorry,1
chapter,1
once-proud,1
franchise,1
london,1
fields,1
bungles,1
beloved,1
intriguingly,1
eclectic,1
neo-noir,1
interest,1
morbidly,1
curious,1
disappointments,1
room,1
thrill-free,1
presumably,1
left,1
stars,1
regret,1
threatens,1
do,1
same,1
redline,1
acting,1
luxury,1
cars,1
bereft,1
characterization,1
satisfying,1
rock,1
sock,1
max,1
steel,1
feels,1
like,1
futzing,1
figure,1
childhood,1
imagination,1
wacky,1
strains,1
sophistication,1
lacks,1
polish,1
narrative,1
simon,1
sez,1
matter,1
how,1
starved,1
are,1
something,1
watch,1
better,1
option,1
dreadfully,1
almost,1
every,1
alone,1
dark,1
work,1
some,1
head-slapping,1
incredulous,1
laughter,1
ill-concieved,1
attempt,1
utilize,1
dana,1
carvey's,1
talent,1
mimicry,1
master,1
disguise,1
irritating,1
witless,1
weighted,1
sophomoric,1
mirthless,1
fairly,1
desperate,1
family,1
daddy,1
day,1
camp,1
heavily,1
bodily,1
functions,1
effect,1
resulting,1
returning,1
seemingly,1
bottomless,1
well,1
flatulence,1
humor,1
racial,1
stereotypes,1
jason,1
friedberg,1
aaron,1
seltzer,1
have,1
produced,1
what,1
arguably,1
worst,1
implausible,1
potboiler,1
stellar,1
twisted,1
clichéd,1
risible,1
whodunit,1
crude,1
nothing,1
new,1
insightful,1
say,1
subjects,1
satirizes,1
heartfelt,1
incompetent,1
sports,1
picture,1
cinematic,1
equivalent,1
airball,1
money,1
wastes,1
katherine,1
heigl's,1
talents,1
stunningly,1
generic,1
comic,1
far,1
westerns,1
go,1
texas,1
rangers,1
strictly,1
mediocre,1
stuff,1
unlikable,1
overdone,1
slapstick,1
king's,1
ransom,1
strange,1
wilderness,1
both,1
aimless,1
direction,1
who,1
look,1
embarrassed,1
onscreen,1
baby,1
geniuses,1
worse,1
premise,1
kickin',1
skool,1
big,1
reference,1
doesn't,1
many,1
haunting,1
molly,1
hartley,1
lifeless,1
endeavor,1
pedestrian,1
although,1
inexplicably,1
committed,1
performance,1
al,1
pacino,1
jack,1
jill,1
impossible,1
recommend,1
whatsoever,1
bless,1
child,1
inspire,1
shivers,1
monotonously,1
fast-paced,1
point,1
exhaustion,1
getaway,1
reminder,1
dangers,1
attempting,1
speed,1
editing,1
character,1
sensible,1
interesting,1
frustrating,1
error,1
fear,1
dot,1
com,1
often,1
nasty,1
seagal,1
now,1
bulky,1
convincing,1
hero,1
half,1
deliver,1
visceral,1
kicks,1
thrills,1
titillation,1
roommate,1
enough,1
melodramatic,1
weighed,1
deuces,1
wild,1
leaves,1
cliche,1
unturned,1
mod,1
squad,1
aims,1
cool,1
adventure,1
collapses,1
jumble,1
hilarity,1
apparition,1
offer,1
anything,1
original,1
little,1
way,1
dramatic,1
momentum,1
put,1
sleep,1
thrill,1
grungy,1
disjointed,1
brainless,1
house,1
nonetheless,1
loaded,1
ruined,1
awful,1
severely,1
incapable,1
telling,1
single,1
joke,1
properly,1
clumsily,1
assortment,1
tropes,1
decidedly,1
non-frightening,1
ghost,1
superior,1
films,1
wake,1
keelhauling,1
mchale's,1
navy,1
will,1
leave,1
most,1
viewers,1
feeling,1
they've,1
been,1
victim,1
dishonorable,1
discharge,1
exciting,1
race,1
against,1
shadow,1
conspiracy,1
secret,1
cabal,1
duping,1
into,1
selecting,1
woefully,1
deficient,1
scripts,1
reliant,1
caricatures,1
human,1
insight,1
because,1
i,1
said,1
murky,1
godsend,1
ludicrous,1
plotting,1
excess,1
strained,1
whole,1
ten,1
yards,1
recycles,1
predecessor's,1
reason,1
being,1
serving,1
sara,1
waster,1
witlessly,1
broad,1
vampires,1
suck,1
represents,1
slight,1
step,1
forward,1
friedberg-seltzer,1
team,1
code,1
cleaner,1
limp,1
action/comedy,1
flick,1
alternates,1
between,1
lame,1
worn-out,1
cheesy,1
martial,1
arts,1
flatliners,1
falls,1
improve,1
upon,1
rendering,1
reboot,1
arrival,1
punch,1
cheer,1
incredibles,1
sky,1
high,1
zoom,1
affair,1
another,1
predictable,1
variation,1
hoary,1
haunted-house,1
portentous,1
plagued,1
paper-thin,1
characterizations,1
hackneyed,1
girls,1
live,1
up,1
minimum,1
shallow,1
budget,1
mindless,1
fight,1
scenes,1
mortal,1
kombat,1
annihilation,1
minimal,1
manages,1
underachieve,1
bar,1
set,1
predecessor,1
bloodrayne,1
absurd,1
sword-and-sorcery,1
vid-game,1
schlock-maestro,1
distinguished,1
(and,1
slumming),1
juvenile,1
fifth,1
installment,1
generate,1
wooden,1
shoddy,1
production,1
values,1
king,1
fulfills,1
all,1
expectations,1
trifecta,1
failure,1
writer-director-star,1
keenen,1
ivory,1
wayans,1
dirty,1
shame,1
repeatedly,1
resolutely,1
consensus,1
adventures,1
pluto,1
nash,1
adventurous,1
murphy,1
autopilot,1
notorious,1
box,1
office,1
bomb,1
mac,1
me,1
duly,1
infamous,1
pale,1
imitation,1
e,1
t,1
also,1
thinly-veiled,1
length,1
commercial,1
mcdonalds,1
coca-cola,1
