movie_name,production_year,movie_odid,production_budget,domestic_box_office,international_box_office,rating,creative_type,source,production_method,genre,sequel,running_time,Gross Profit
Mars Needs Moms,2010,135920100,150000000,21392758,18157000,PG,Science Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,88,"-$110,450,242.00"
The Promise,2016,234980100,90000000,8224288,2327129,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,134,"-$79,448,583.00"
Renegades,2016,227610100,77500000,0,1521672,PG-13,Contemporary Fiction,Original Screenplay,Live Action,Action,0,105,"-$75,978,328.00"
How Do You Know?,2010,134570100,120000000,30212620,19415557,R,Contemporary Fiction,Original Screenplay,Live Action,Romantic Comedy,0,121,"-$70,371,823.00"
The Nutcracker in 3D,2010,143780100,90000000,195459,20270557,PG,Kids Fiction,Based on Ballet,Animation/Live Action,Musical,0,108,"-$69,533,984.00"
Monster Trucks,2015,195640100,125000000,33370166,28272632,PG-13,Science Fiction,Original Screenplay,Animation/Live Action,Adventure,0,104,"-$63,357,202.00"
R.I.P.D.,2011,148440100,130000000,33618855,45457823,PG-13,Science Fiction,Based on Comic/Graphic Novel,Live Action,Action,0,98,"-$50,923,322.00"
Blackhat,2014,200580100,70000000,8005980,11659024,R,Contemporary Fiction,Original Screenplay,Live Action,Thriller/Suspense,0,133,"-$50,334,996.00"
Legends of Oz: Dorothy’s Return,2013,142920100,70000000,8462347,11645586,PG,Kids Fiction,Based on Fiction Book/Short Story,Digital Animation,Adventure,0,88,"-$49,892,067.00"
Outlander,2009,76700100,50000000,166003,1084614,R,Science Fiction,Original Screenplay,Live Action,Adventure,0,,"-$48,749,383.00"
Lucky You,2007,45050100,55000000,5755286,766543,PG-13,Historical Fiction,Original Screenplay,Live Action,Drama,0,124,"-$48,478,171.00"
In the Name of the King: A Dungeon Siege Tale,2008,47080100,60000000,4775656,8457564,PG-13,Fantasy,Based on Game,Live Action,Action,0,127,"-$46,766,780.00"
Mr. Nobody,2009,147720100,46500000,3622,18632,R,Science Fiction,Original Screenplay,Live Action,Drama,0,155,"-$46,477,746.00"
All the King's Men,2006,41880100,55000000,7221458,2300000,PG-13,Historical Fiction,Based on Fiction Book/Short Story,Live Action,Drama,0,,"-$45,478,542.00"
Flyboys,2006,32730100,60000000,13090630,1725749,PG-13,Dramatization,Based on Real Life Events,Live Action,Drama,0,139,"-$45,183,621.00"
Foodfight!,2012,107130100,45000000,0,73706,PG,Kids Fiction,Original Screenplay,Digital Animation,Adventure,0,91,"-$44,926,294.00"
